Input phrase,Assigned code
"Before you shoot them down, say them out loud.",1
"To be fair, like if we're making a game, it's gotta be like sort of simple. You know what I mean? Because like, yeah.",2
"So we're feeling game Dev and computer vision. Sorry, I'm kind of like think more along that line",4
"Here, alright, this is an idea anymore. I mean, it could be something. A really small idea like I don't know. Small problem. Something to clean your glasses. I don't know. Yeah. I just. No, I'm just like throwing stuff out. I don't really. Yeah.",1
"Yeah, I think. Like when evaluating a hardware project, we can the difficulty of how hard that project is we can like break it down by looking at the the numbers, degrees of freedom, right. And so the more degrees of freedom there is, the harder the project will be, right. And I think we should limit ourselves to a certain degree of freedom. Right. So.",2
"OK, I don't think we need to lend ourselves in our thinking, but rather just like the solutions we can come up with. OK, they should be like simple right in terms of mechanisms at least.",1
"Yeah, I can talk about projects that I want to do, but are aren't realistic for hackathon and that could inspire stuff. For example, I want to do.",3
"I mean, we could limit ourselves to hardware if that makes it easier for brainstorm, like right? Like.",2
The second one needs the first. So are we good with just mapping it on to then?,2
"Maybe they have a couple. Ohh no input but but it would be cool. So going off of like one of the ideas with, like the trash segregated thing, like, we could do some sort of like very simple vision stuff and then just have like a little robot that picks things and then places them or something like you know a good project to like incorporate a little bit of both. But then I think the other side of that, it's just like.",3
"I mean, we could just do like a scale or something like.",1
If we can have something like a use case for this.,4
