Speech Segment,Open code(s)
You are the devil's advocate of the group now.,5
"Yeah, exactly because like, if you make a like a game, it can get like super complicated and it's gonna take too much time.",11
Does anyone else want to add or subtract a topic? Yeah to what we're thinking about?,3
Let's sync up. Sure. I don't know. It could be like something super small to solve a problem. Like what's a teeny problem?,3
"Yeah, yeah, yeah. I mean, we can start from like big topics of like what we're interested in and then branch off of that. And then like like we could just write some big topics on there and then. OK, see.",3
How long are you guys going to be up for?,11
"Until 3 or 4. OK, that's realistic.",11
It depends on our like progress.,11
"Yeah, yeah. I think we should at least have the idea before.",9
What else is there?,3
"OK, how attached are you to the idea? Like if you're like, if the three of us can keep brainstorming and then you catch up once you come back from your workshop. Because I think before, before we split up for the night, or, like, do whatever we want to do,",9
What kind of use cases would we have for LLM's if that if we're going for a category?,3
What do we do instead?,3
Good question. I think we just take an idea and roll with it,4
"Ah, So what other library open TV? Something like that. Something a little more out-of-the-box that does people instead of just like, does algorithms? OK so. To do: find libraries. What else?",3
"Because I think everyone should also just make an account, not miss an account. But that post like sign up for the hackathon and then get added and then we can make a GitHub repo and then. Yeah, add everyone and then figure out how we want to merge code and stuff and then go from there, yes. And then divide and conquer. What task do you want to do?",2
What are we stuck on right now?,0
I wanna call dibs,6
"Yeah, we can divide and conquer that I think. Whatever you guys, whoever wants to do that.",6
"I think do the research, but I guess.",7
"Oh, she already did it? Cool.",6
"Whichever decision you want to get to it, we just gotta get to one.",8
"Yeah, yeah. And I can do the whole CV thing. So that's fine. No worries, I can do the whole CV thing so.",0
"Here we're all conquered and divided, right? You're all taking a break, yeah.",1
"We could. We could have like someone in my school made a like a virtual assistant, their own virtual assistant. I don't know how they they they used PS5JS and Arduino. I don't know how, but they did that through a server. And it was quite simple. It was just for a few buttons. Like I don't know, it sets an alarm and when he wakes up. It it obviously wakes them up and then it tells them like whether it's something I don't know. I don't know how he did that. You should have asked but.",13
"Yeah, cause he said about waking up. I I did a project. The part that's relevant here is RFID tags for accountability. So if the user needs to keep brushing their teeth and needs to keep drinking water but they don't do it, so the RFID tag is at the mirror is at the fridge, the alarm will not shut off until they go to the fridge.",13
"Very, very unrelated, but a mechanics. Or robotics, or whichever it's thing that I think I'd want to make a rigged beyblade. Cool. Like, just be able to control where the Beyblade spins and goes",13
"Oh, here's an idea. We can make an instrument using Arduino.",13
"Like you know, those games where? Take the Wii. Where you like, move around and then it detects what your movement is to determine what the input is? So like the example that my professor gave was like if you're playing ping pong instead of like you actually physically moved to catch the ball as you're playing pinball.",13
