Speech Segment,Open code(s)
"We're just trying to go for the top 12 then. OK, OK.",Team goal
"So I mean, I think like limiting ourselves will help because like if we do something too ambitious like we might not even get like half halfway through.",Scoping team goal
Right. And I think like completing a project is better than going halfway and like giving up.,Scoping team goal
"Like it doesn't need to be a problem as well, it could quite literally just be something for fun, like it doesn't need to.",Team goal to have fun
"It it definitely could, this is for winning",Team goal to win
"Oh, OK. But I also obviously want to contribute.",Individual contribution to team goal
Do you want? I I. It's OK. I can also stay like its no issue.,Individual contribution to team goal
"Like the ones on the bottom hardware robotics, 3D printing and mech are very physical and then games, computer vision processing and blockchain are the software side and I think a consensus could be made if we find a way to do something that's both hardware and software.",Scoping team goal
"Yeah, yeah, yeah. Yeah. I mean, I'm OK with doing software like if because limitations, right? So.",Individual contribution to team goal
"That makes sense. That would add to the functionality. I think it would be a different direction but it would still be the same project, it would just be like OK, we're splitting it up amongst ourselves. We can all do different things.",Individual contribution to team goal
"Actually guys, can I ask how serious we are about trying to compete versus trying to build something fun?",Defining team goal
"Design. I got that down Pat. OK, we have a solid shot.",Team goal to win
