Speech Segment,Open code(s)
"Well, I think. Like we don't have to think about when necessary the solution is like we can start just by thinking about what is the problem we’re not solving right? And then we come up with asimple solution. But I'm not like a super good ideas guy, so I'm just like. Any inspiration?",Self-identification of knowledge and skills
But do you know how to like go about using it? Because I've I I've never experienced like that the.,Self-identification of knowledge and skills
"I I was actually thinking of it and I was like it's already her idea. So yeah, yeah.",Trying to claim idea as own
"Well, what I what I know? And what I know is making games that hardware. That's what I know.",Self-identification of knowledge and skills
"Processing, PJIS, that sort of stuff.",Self-identification of knowledge and skills
"Yeah, you could put down robotics, 3D Printing stuff and then mechanical like mechanisms and stuff. If you want to do and computer vision but like that's pretty specific though.",Self-identification of knowledge and skills
"I'll add here Web, mobile. I don't have like big topics that I'm particularly drawn to. I'm just like a Swiss knife anywhere. Yeah.",Self-identification of knowledge and skills
"Mine's web, mobile blockchain, blockchain.",Self-identification of knowledge and skills
I'm I'm I'm really open. I'm fine with it. I'm flexible.,Relinquish control of project
"OK. OK, so like a practical application would be we take their profiles, we do some computation back to get like what colors best fit and then from then on they can use this tool to project the clothes of that colour on them when they're buying or whatever, is that it getting right, OK.",Apprehension
"Yeah, I'm not an ideas guy, but I can materialize your ideas.",Self-identification of knowledge and skills
We're all little bit dead though. I'm tired.,Fatigue
Call it quits after we get to the divide and conquer part because I'm yawning so hard I am crying,Fatigue
"The thing is, I would love to do this, but I have no idea how we would go about it. Like I I I'm I have zero clue where to even start it's. It's pretty cool. But I don't know what where to start.",Apprehension
Time to take a nap,Fatigue
Uhm,Apprehension
Yeah,Apprehension
"No, just uhm, we are aiming for like the biggest category, which is like general overall prize? Yeah, that's that's where I'm like, apprehensive. Yeah, that's the hardest to win. Hence the fear. Uhhhhh",Apprehension
"Nah I don't want to disrupt you, I mean, you guys clearly have got your flow, you know what I mean",Awareness of conflict inducing behaviour
"For sure. Wait, no, I feel pretty bad. I feel like I'm blocking you. Guys from that idea.",Awareness of conflict inducing behaviour
But I don’t want to like screw you guys over at all so. I will leave this up for discussion.,Awareness of conflict inducing behaviour
When are you going to go to sleep?,Fatigue
