Code,Average similarity to other codes
Addressing group concern(s),0.47623106092214584
Concern about health,0.44745295494794846
Admiration,0.3737153435746829
Reassurance,0.3361297858258088
Sarcasm,0.2777504858871301
Well wishes,0.4327998161315918
Permission to leave team,0.5460648039976755
Member leaves,0.37181030089656514
Member returns,0.44822681198517483
Commenting on missing member,0.5095890760421753
Recruitment of new team member,0.5176627996067206
First mention of new team member,0.5875662366549174
Self-identification of knowledge and skills,0.5126010850071907
