Code,Average similarity to other codes
Process,0.4139934455355008
Team process clarification,0.5485005329052607
Facilitation,0.3735184632241726
Individual process suggestion,0.5711873720089594
Role allocation,0.5435987388094267
Task allocation,0.48556121438741684
Volunteering for task,0.5741321394840876
Forcing decision,0.36302418634295464
Planning,0.4584529499212901
Plan to quit for the day,0.5101543863614401
Time commitment,0.49824679270386696
Taking on duties of leaving team member,0.5879895736773809
Topic generation,0.4249572716653347
