min,max,kappa,f1,percentage_below_min,rows_below_min
0.95,1.0,0.11524163568773238,0.011931818181818182,92.9460580912863,224
0.9,0.95,0.023255813953488413,0.002840909090909091,84.23236514522821,203
0.85,0.9,-0.037837837837837895,0.0,74.27385892116183,179
0.8,0.85,0.02941176470588236,0.008207070707070706,64.31535269709543,155
0.75,0.8,0.125,0.013879870129870131,52.69709543568465,127
0.7,0.75,0.028697571743929284,0.0035353535353535356,43.56846473029046,105
0.65,0.7,0.021359223300970953,0.006818181818181818,33.60995850622407,81
0.6,0.65,0.047337278106508895,0.007070707070707071,24.066390041493776,58
0.55,0.6,0.09302325581395354,0.007575757575757575,17.842323651452283,43
0.5,0.55,0.11267605633802813,0.017045454545454544,14.107883817427386,34
0.45,0.5,0.12727272727272732,0.009090909090909092,10.78838174273859,26
0.4,0.45,-0.25,0.0,8.71369294605809,21
0.35,0.4,0.013698630136986245,0.0037878787878787876,4.979253112033195,12
0.3,0.35,0.0,0.0,4.564315352697095,11
0.25,0.3,0.3846153846153846,0.018939393939393936,2.904564315352697,7
0.2,0.25,0.0,0.0,2.0746887966804977,5
0.15,0.2,-0.1428571428571428,0.0,0.4149377593360996,1
0.1,0.15,,0.0,0.4149377593360996,1
0.05,0.1,,0.0,0.4149377593360996,1
0.0,0.05,0.0,0.0,0.0,0
