min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.0,100.0,241,0.0,0
0.9,0.95,,0.0,100.0,241,0.0,0
0.85,0.9,,0.0,100.0,241,0.0,0
0.8,0.85,,0.0,100.0,241,0.0,0
0.75,0.8,,0.0,100.0,241,0.0,0
0.7,0.75,,0.0,100.0,241,0.0,0
0.65,0.7,,0.0,100.0,241,0.0,0
0.6,0.65,0.1428571428571428,0.06666666666666667,98.7551867219917,238,0.0,0
0.55,0.6,0.0,0.04,97.0954356846473,234,0.0,0
0.5,0.55,0.5555555555555556,0.18,95.4356846473029,230,0.0,0
0.45,0.5,,0.0,95.4356846473029,230,0.0,0
0.4,0.45,-0.17647058823529438,0.04,93.3609958506224,225,0.0,0
0.35,0.4,0.2320000000000001,0.21666666666666665,88.38174273858921,213,0.0,0
0.3,0.35,0.028169014084506894,0.0641025641025641,77.17842323651453,186,0.0,0
0.25,0.3,-0.001425855513307983,0.0874074074074074,56.84647302904564,137,0.0,0
0.2,0.25,0.025202092249167696,0.08479638009049775,36.09958506224066,87,0.0,0
0.15,0.2,0.06136210384356022,0.09101774042950513,12.033195020746888,29,0.0,0
0.1,0.15,-0.05633802816901423,0.02857142857142857,1.6597510373443984,4,0.0,0
0.05,0.1,0.3846153846153846,0.16666666666666666,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
