min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,0.03950706777818047,0.06999999999999999,94.15011037527594,853,69.4260485651214,629
0.9,0.95,0.0013121794107120444,0.004081632653061224,83.99558498896246,761,61.58940397350994,558
0.85,0.9,-0.0041259500542889516,0.0,68.98454746136865,625,49.22737306843267,446
0.8,0.85,0.011301715438950644,0.05714285714285714,61.147902869757175,554,44.03973509933775,399
0.75,0.8,0.049330514446793594,0.11142857142857143,52.75938189845475,478,38.741721854304636,351
0.7,0.75,0.010309278350515427,0.020940170940170942,43.92935982339956,398,32.33995584988962,293
0.65,0.7,0.0172536043488537,0.04722222222222222,36.64459161147903,332,27.704194260485654,251
0.6,0.65,0.013880256888336384,0.04038461538461539,28.918322295805737,262,22.516556291390728,204
0.55,0.6,0.0030779753761971396,0.03333333333333333,22.8476821192053,207,18.101545253863137,164
0.5,0.55,0.013352073085031724,0.04038461538461539,16.887417218543046,153,13.134657836644593,119
0.45,0.5,0.020697167755991286,0.04444444444444444,13.46578366445916,122,10.596026490066226,96
0.4,0.45,-0.026272577996715896,0.0,10.706401766004415,97,8.388520971302428,76
0.35,0.4,0.00540540540540535,0.02222222222222222,8.057395143487858,73,6.73289183222958,61
0.3,0.35,-0.006968641114982521,0.0,6.181015452538632,56,4.966887417218543,45
0.25,0.3,0.09302325581395365,0.1,4.525386313465784,41,3.7527593818984544,34
0.2,0.25,-0.025423728813559476,0.0,3.3112582781456954,30,2.759381898454746,25
0.15,0.2,-0.06666666666666665,0.0,2.4282560706401766,22,2.3178807947019866,21
0.1,0.15,0.0,0.0,1.434878587196468,13,1.3245033112582782,12
0.05,0.1,0.0,0.0,0.772626931567329,7,0.6622516556291391,6
0.0,0.05,0.0,0.0,0.0,0,0.0,0
