min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.0,100.0,906,73.39955849889624,665
0.9,0.95,,0.0,100.0,906,73.39955849889624,665
0.85,0.9,0.0,0.0,99.8896247240618,905,73.28918322295806,664
0.8,0.85,0.027210884353741527,0.08888888888888888,98.45474613686534,892,72.40618101545255,656
0.75,0.8,0.05108815935079325,0.07636363636363637,86.86534216335541,787,63.35540838852097,574
0.7,0.75,0.02186438258386869,0.07744513396047922,40.06622516556291,363,29.80132450331126,270
0.65,0.7,0.006492483768790636,0.040561427799292865,2.3178807947019866,21,1.7660044150110374,16
0.6,0.65,-0.01847575057736739,0.0,0.0,0,0.0,0
0.55,0.6,,0.0,0.0,0,0.0,0
0.5,0.55,,0.0,0.0,0,0.0,0
0.45,0.5,,0.0,0.0,0,0.0,0
0.4,0.45,,0.0,0.0,0,0.0,0
0.35,0.4,,0.0,0.0,0,0.0,0
0.3,0.35,,0.0,0.0,0,0.0,0
0.25,0.3,,0.0,0.0,0,0.0,0
0.2,0.25,,0.0,0.0,0,0.0,0
0.15,0.2,,0.0,0.0,0,0.0,0
0.1,0.15,,0.0,0.0,0,0.0,0
0.05,0.1,,0.0,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
