min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,0.1414620535714286,0.1075877825877826,22.317596566523605,52,0.0,0
0.9,0.95,0.006309148264984188,0.002525252525252525,6.866952789699571,16,0.0,0
0.85,0.9,-2.220446049250313e-16,0.0,3.862660944206009,9,0.0,0
0.8,0.85,0.0,0.0,3.004291845493562,7,0.0,0
0.75,0.8,0.0,0.0,2.1459227467811157,5,0.0,0
0.7,0.75,0.0,0.0,0.4291845493562232,1,0.0,0
0.65,0.7,,0.0,0.4291845493562232,1,0.0,0
0.6,0.65,,0.0,0.4291845493562232,1,0.0,0
0.55,0.6,0.0,0.0,0.0,0,0.0,0
0.5,0.55,,0.0,0.0,0,0.0,0
0.45,0.5,,0.0,0.0,0,0.0,0
0.4,0.45,,0.0,0.0,0,0.0,0
0.35,0.4,,0.0,0.0,0,0.0,0
0.3,0.35,,0.0,0.0,0,0.0,0
0.25,0.3,,0.0,0.0,0,0.0,0
0.2,0.25,,0.0,0.0,0,0.0,0
0.15,0.2,,0.0,0.0,0,0.0,0
0.1,0.15,,0.0,0.0,0,0.0,0
0.05,0.1,,0.0,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
