min,max,kappa,f1,percentage_below_min,rows_below_min
0.95,1.0,,0.0,100.0,233
0.9,0.95,,0.0,100.0,233
0.85,0.9,0.33333333333333337,0.011363636363636364,99.14163090128756,231
0.8,0.85,0.15635545556805397,0.053030303030303025,86.26609442060087,201
0.75,0.8,0.16558973864403503,0.09884641873278235,42.06008583690987,98
0.7,0.75,0.02850905355078981,0.02510822510822511,3.862660944206009,9
0.65,0.7,-0.012499999999999956,0.0,0.0,0
0.6,0.65,,0.0,0.0,0
0.55,0.6,,0.0,0.0,0
0.5,0.55,,0.0,0.0,0
0.45,0.5,,0.0,0.0,0
0.4,0.45,,0.0,0.0,0
0.35,0.4,,0.0,0.0,0
0.3,0.35,,0.0,0.0,0
0.25,0.3,,0.0,0.0,0
0.2,0.25,,0.0,0.0,0
0.15,0.2,,0.0,0.0,0
0.1,0.15,,0.0,0.0,0
0.05,0.1,,0.0,0.0,0
0.0,0.05,,0.0,0.0,0
