min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.0,100.0,906,73.9514348785872,670
0.9,0.95,,0.0,100.0,906,73.9514348785872,670
0.85,0.9,,0.0,100.0,906,73.9514348785872,670
0.8,0.85,,0.0,100.0,906,73.9514348785872,670
0.75,0.8,0.33333333333333337,0.011363636363636364,99.77924944812362,904,73.84105960264901,669
0.7,0.75,0.0,0.0,99.66887417218543,903,73.73068432671081,668
0.65,0.7,0.0,0.0,99.55849889624724,902,73.62030905077262,667
0.6,0.65,0.0,0.0,99.22737306843267,899,73.39955849889624,665
0.55,0.6,0.0,0.0,99.11699779249447,898,73.39955849889624,665
0.5,0.55,0.13333333333333341,0.011363636363636364,97.68211920529801,885,72.40618101545255,656
0.45,0.5,0.09090909090909094,0.011363636363636364,96.57836644591612,875,71.7439293598234,650
0.4,0.45,0.08695652173913049,0.022727272727272728,94.26048565121413,854,70.6401766004415,640
0.35,0.4,0.0,0.0,91.280353200883,827,68.43267108167771,620
0.3,0.35,0.036918138041733606,0.018939393939393936,85.76158940397352,777,65.34216335540839,592
0.25,0.3,0.16202270381836936,0.06182359307359308,78.03532008830022,707,61.258278145695364,555
0.2,0.25,0.009206318441709382,0.010822510822510822,62.14128035320088,563,50.993377483443716,462
0.15,0.2,0.0014551658387274014,0.0037878787878787876,40.06622516556291,363,34.65783664459161,314
0.1,0.15,-0.0009801475567594586,0.0,13.90728476821192,126,12.472406181015453,113
0.05,0.1,0.006590187942396852,0.004545454545454546,1.6556291390728477,15,1.6556291390728477,15
0.0,0.05,0.0,0.0,0.0,0,0.0,0
