min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.0,100.0,906,73.9514348785872,670
0.9,0.95,,0.0,100.0,906,73.9514348785872,670
0.85,0.9,,0.0,100.0,906,73.9514348785872,670
0.8,0.85,,0.0,100.0,906,73.9514348785872,670
0.75,0.8,,0.0,100.0,906,73.9514348785872,670
0.7,0.75,0.19999999999999996,0.011363636363636364,99.55849889624724,902,73.73068432671081,668
0.65,0.7,0.11764705882352933,0.007575757575757575,98.89624724061811,896,73.28918322295806,664
0.6,0.65,-0.04166666666666674,0.0,98.34437086092716,891,73.06843267108167,662
0.55,0.6,0.10211267605633811,0.022727272727272728,96.46799116997794,874,72.29580573951435,655
0.5,0.55,0.14371257485029942,0.022727272727272728,95.03311258278146,861,71.7439293598234,650
0.45,0.5,0.11462450592885376,0.028409090909090908,91.50110375275938,829,70.30905077262693,637
0.4,0.45,0.06343906510851416,0.029356060606060604,85.43046357615894,774,68.10154525386314,617
0.35,0.4,0.037257824143069995,0.018127705627705628,72.29580573951435,655,58.38852097130243,529
0.3,0.35,0.019451990475232273,0.016233766233766232,53.20088300220751,482,45.143487858719645,409
0.25,0.3,0.016170892393691405,0.022358323494687134,28.47682119205298,258,24.392935982339957,221
0.2,0.25,-0.002605863192182367,0.0,9.602649006622517,87,8.388520971302428,76
0.15,0.2,-0.0035375462292974724,0.0,0.8830022075055187,8,0.772626931567329,7
0.1,0.15,0.0,0.0,0.11037527593818984,1,0.11037527593818984,1
0.05,0.1,0.0,0.0,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
