min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,0.5790694303522249,0.5886047334842412,55.88972431077694,223,9.523809523809524,38
0.9,0.95,0.23440733077150466,0.24408972669842235,29.57393483709273,118,5.764411027568922,23
0.85,0.9,0.023749999999999938,0.0800275482093664,11.779448621553884,47,2.506265664160401,10
0.8,0.85,0.054677206851119875,0.08552631578947369,1.5037593984962405,6,0.2506265664160401,1
0.75,0.8,-0.09090909090909105,0.0,0.0,0,0.0,0
0.7,0.75,,0.0,0.0,0,0.0,0
0.65,0.7,,0.0,0.0,0,0.0,0
0.6,0.65,,0.0,0.0,0,0.0,0
0.55,0.6,,0.0,0.0,0,0.0,0
0.5,0.55,,0.0,0.0,0,0.0,0
0.45,0.5,,0.0,0.0,0,0.0,0
0.4,0.45,,0.0,0.0,0,0.0,0
0.35,0.4,,0.0,0.0,0,0.0,0
0.3,0.35,,0.0,0.0,0,0.0,0
0.25,0.3,,0.0,0.0,0,0.0,0
0.2,0.25,,0.0,0.0,0,0.0,0
0.15,0.2,,0.0,0.0,0,0.0,0
0.1,0.15,,0.0,0.0,0,0.0,0
0.05,0.1,,0.0,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
