min,max,kappa,f1,percentage_below_min,rows_below_min
0.95,1.0,,0.0,100.0,399
0.9,0.95,1.0,0.10227272727272728,91.22807017543859,364
0.85,0.9,0.9440605462323133,0.12065534125077648,65.6641604010025,262
0.8,0.85,0.8876738220602133,0.11622112459515527,33.583959899749374,134
0.75,0.8,0.5645933014354068,0.07793422661727388,10.776942355889723,43
0.7,0.75,0.21001926782273606,0.03175262237762238,0.5012531328320802,2
0.65,0.7,0.33333333333333337,0.011363636363636364,0.0,0
0.6,0.65,,0.0,0.0,0
0.55,0.6,,0.0,0.0,0
0.5,0.55,,0.0,0.0,0
0.45,0.5,,0.0,0.0,0
0.4,0.45,,0.0,0.0,0
0.35,0.4,,0.0,0.0,0
0.3,0.35,,0.0,0.0,0
0.25,0.3,,0.0,0.0,0
0.2,0.25,,0.0,0.0,0
0.15,0.2,,0.0,0.0,0
0.1,0.15,,0.0,0.0,0
0.05,0.1,,0.0,0.0,0
0.0,0.05,,0.0,0.0,0
