min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.0,100.0,399,13.283208020050125,53
0.9,0.95,,0.09090909090909091,99.74937343358395,398,13.283208020050125,53
0.85,0.9,,0.09090909090909091,99.49874686716792,397,13.283208020050125,53
0.8,0.85,1.0,0.45454545454545453,96.99248120300751,387,13.283208020050125,53
0.75,0.8,0.956661316211878,0.8181818181818182,90.22556390977444,360,13.032581453634084,52
0.7,0.75,0.9634551495016611,0.722943722943723,81.95488721804512,327,12.781954887218044,51
0.65,0.7,0.8801261829652997,0.8878394332939787,72.4310776942356,289,12.280701754385964,49
0.6,0.65,0.8718159408381265,0.908080808080808,59.3984962406015,237,11.278195488721805,45
0.55,0.6,0.7461459403905446,0.7636747091292545,45.11278195488722,180,9.523809523809524,38
0.5,0.55,0.8236819360414867,0.8228955536442167,32.33082706766917,129,8.521303258145362,34
0.45,0.5,0.7605083088954057,0.6662337662337663,23.55889724310777,94,8.020050125313283,32
0.4,0.45,0.501466275659824,0.522038567493113,15.037593984962406,60,5.263157894736842,21
0.35,0.4,0.44110854503464203,0.3779220779220779,9.523809523809524,38,3.258145363408521,13
0.3,0.35,0.2962962962962964,0.17272727272727273,4.761904761904762,19,1.2531328320802004,5
0.25,0.3,0.24731182795698925,0.22727272727272727,2.2556390977443606,9,0.5012531328320802,2
0.2,0.25,0.09090909090909094,0.045454545454545456,0.7518796992481203,3,0.0,0
0.15,0.2,0.0,0.0,0.0,0,0.0,0
0.1,0.15,,0.0,0.0,0,0.0,0
0.05,0.1,,0.0,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
