min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,1.0,0.18181818181818182,94.48621553884712,377,13.283208020050125,53
0.9,0.95,1.0,0.7272727272727273,85.21303258145363,340,13.283208020050125,53
0.85,0.9,0.8780399274047187,0.7807995925642984,71.17794486215539,284,12.030075187969924,48
0.8,0.85,0.6625,0.7387223293220497,39.59899749373433,158,8.771929824561402,35
0.75,0.8,0.28682745825602973,0.36469383364964564,16.290726817042607,65,3.508771929824561,14
0.7,0.75,0.313331271265079,0.3408500590318772,1.2531328320802004,5,0.2506265664160401,1
0.65,0.7,0.41176470588235303,0.13636363636363635,0.0,0,0.0,0
0.6,0.65,,0.0,0.0,0,0.0,0
0.55,0.6,,0.0,0.0,0,0.0,0
0.5,0.55,,0.0,0.0,0,0.0,0
0.45,0.5,,0.0,0.0,0,0.0,0
0.4,0.45,,0.0,0.0,0,0.0,0
0.35,0.4,,0.0,0.0,0,0.0,0
0.3,0.35,,0.0,0.0,0,0.0,0
0.25,0.3,,0.0,0.0,0,0.0,0
0.2,0.25,,0.0,0.0,0,0.0,0
0.15,0.2,,0.0,0.0,0,0.0,0
0.1,0.15,,0.0,0.0,0,0.0,0
0.05,0.1,,0.0,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
