min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.09090909090909091,97.99498746867168,391,13.283208020050125,53
0.9,0.95,1.0,0.18181818181818182,95.98997493734336,383,13.283208020050125,53
0.85,0.9,1.0,0.36363636363636365,92.98245614035088,371,13.283208020050125,53
0.8,0.85,1.0,0.7272727272727273,87.96992481203007,351,13.283208020050125,53
0.75,0.8,0.9433962264150944,0.6363636363636364,82.70676691729322,330,13.283208020050125,53
0.7,0.75,0.8210161662817552,0.7688311688311689,74.93734335839599,299,12.531328320802004,50
0.65,0.7,0.7597911227154047,0.8524858979404435,63.40852130325815,253,12.030075187969924,48
0.6,0.65,0.6150943396226415,0.6564541519086974,54.88721804511278,219,10.526315789473683,42
0.55,0.6,0.685374149659864,0.6186703248904206,45.614035087719294,182,9.774436090225564,39
0.5,0.55,0.45500420521446594,0.3967532467532467,36.59147869674185,146,8.771929824561402,35
0.45,0.5,0.6914556962025316,0.5474464929010383,26.81704260651629,107,7.769423558897243,31
0.4,0.45,0.5120481927710843,0.601948051948052,20.050125313283207,80,5.764411027568922,23
0.35,0.4,0.44591029023746687,0.30216450216450214,14.786967418546364,59,4.511278195488721,18
0.3,0.35,0.3756756756756756,0.35291375291375293,9.523809523809524,38,3.258145363408521,13
0.25,0.3,0.21252796420581666,0.17445887445887445,4.010025062656641,16,0.7518796992481203,3
0.2,0.25,-0.025641025641025772,0.03636363636363637,1.5037593984962405,6,0.5012531328320802,2
0.15,0.2,-0.08695652173913038,0.0,0.2506265664160401,1,0.0,0
0.1,0.15,0.0,0.0,0.0,0,0.0,0
0.05,0.1,,0.0,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
