min,max,kappa,f1,percentage_below_min,rows_below_min
0.95,1.0,0.12065385306269083,0.0258649621127783,2.0050125313283207,8
0.9,0.95,-0.10344827586206895,0.0,0.0,0
0.85,0.9,,0.0,0.0,0
0.8,0.85,,0.0,0.0,0
0.75,0.8,,0.0,0.0,0
0.7,0.75,,0.0,0.0,0
0.65,0.7,,0.0,0.0,0
0.6,0.65,,0.0,0.0,0
0.55,0.6,,0.0,0.0,0
0.5,0.55,,0.0,0.0,0
0.45,0.5,,0.0,0.0,0
0.4,0.45,,0.0,0.0,0
0.35,0.4,,0.0,0.0,0
0.3,0.35,,0.0,0.0,0
0.25,0.3,,0.0,0.0,0
0.2,0.25,,0.0,0.0,0
0.15,0.2,,0.0,0.0,0
0.1,0.15,,0.0,0.0,0
0.05,0.1,,0.0,0.0,0
0.0,0.05,,0.0,0.0,0
