min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.0,100.0,399,13.283208020050125,53
0.9,0.95,,0.09090909090909091,96.74185463659147,386,13.283208020050125,53
0.85,0.9,,0.0,96.74185463659147,386,13.283208020050125,53
0.8,0.85,1.0,0.36363636363636365,93.98496240601504,375,13.283208020050125,53
0.75,0.8,1.0,0.5454545454545454,90.22556390977444,360,13.283208020050125,53
0.7,0.75,1.0,0.6363636363636364,86.71679197994987,346,13.283208020050125,53
0.65,0.7,0.9174041297935103,0.890909090909091,79.69924812030075,318,12.781954887218044,51
0.6,0.65,0.9317286652078774,0.9571035025580481,66.66666666666666,266,12.030075187969924,48
0.55,0.6,0.801980198019802,0.6909090909090909,59.64912280701754,238,10.776942355889723,43
0.5,0.55,0.7767857142857143,0.7773848255131678,47.11779448621554,188,9.523809523809524,38
0.45,0.5,0.6609589041095891,0.612081857536403,38.095238095238095,152,9.022556390977442,36
0.4,0.45,0.834280303030303,0.706060606060606,29.32330827067669,117,8.521303258145362,34
0.35,0.4,0.5631067961165048,0.5511544011544012,21.804511278195488,87,6.265664160401002,25
0.3,0.35,0.4201183431952662,0.3939393939393939,18.295739348370926,73,5.764411027568922,23
0.25,0.3,0.24596774193548387,0.1180637544273908,14.035087719298245,56,4.260651629072681,17
0.2,0.25,0.26436781609195403,0.32101534828807554,8.020050125313283,32,3.7593984962406015,15
0.15,0.2,0.07183908045977017,0.09090909090909091,3.258145363408521,13,1.0025062656641603,4
0.1,0.15,0.10638297872340419,0.09090909090909091,1.5037593984962405,6,0.7518796992481203,3
0.05,0.1,-0.1428571428571428,0.0,0.5012531328320802,2,0.2506265664160401,1
0.0,0.05,0.0,0.0,0.0,0,0.0,0
