min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.0,100.0,399,13.283208020050125,53
0.9,0.95,1.0,0.7272727272727273,95.73934837092732,382,13.283208020050125,53
0.85,0.9,0.9550561797752809,0.9762828975864998,69.92481203007519,279,12.280701754385964,49
0.8,0.85,0.8979057591623036,0.92757387283079,34.58646616541353,138,10.025062656641603,40
0.75,0.8,0.5731324544883867,0.6157795651866799,9.022556390977442,36,3.7593984962406015,15
0.7,0.75,0.11194029850746279,0.1836007130124777,0.5012531328320802,2,0.0,0
0.65,0.7,0.0,0.0,0.0,0,0.0,0
0.6,0.65,,0.0,0.0,0,0.0,0
0.55,0.6,,0.0,0.0,0,0.0,0
0.5,0.55,,0.0,0.0,0,0.0,0
0.45,0.5,,0.0,0.0,0,0.0,0
0.4,0.45,,0.0,0.0,0,0.0,0
0.35,0.4,,0.0,0.0,0,0.0,0
0.3,0.35,,0.0,0.0,0,0.0,0
0.25,0.3,,0.0,0.0,0,0.0,0
0.2,0.25,,0.0,0.0,0,0.0,0
0.15,0.2,,0.0,0.0,0,0.0,0
0.1,0.15,,0.0,0.0,0,0.0,0
0.05,0.1,,0.0,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
